name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
Multiple DUA,@AEATSII_AcogidaSII2@='Y' & (@EM_Aeatsii_Clave_Tipo_Fc@='F5' | @EM_Aeatsii_Clave_Tipo_Fc@='LC'),,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | @DocStatus@='VO') & @Processed@='Y',EM_Aeatsii_Multi_Dua
DUA,@AEATSII_AcogidaSII2@='Y' & (@EM_Aeatsii_Clave_Tipo_Fc@='F5' | @EM_Aeatsii_Clave_Tipo_Fc@='LC') & @EM_Aeatsii_Multi_Dua@='N',,,,EM_Aeatsii_Dua
Send to SII,@AEATSII_AcogidaSII2@='Y' & @EM_Aeatsii_Error_Registral@='N',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | @em_aeatsii_estado@='BA' | (@DocStatus@!'CO' & @DocStatus@!'VO')) | (@IsSOTrx@='N' & @AEATSII_PreSII_Invoice@='N' &(@EM_Aeatsii_Fecha_Reg_Cont@=null | @EM_Aeatsii_Fecha_Reg_Cont@='' | @EM_Aeatsii_Fecha_Reg_Cont@='null')),EM_Aeatsii_Send
Periodo,@EM_Aeat349_Iscorrective@='Y',,,@Processed@='Y' & @DocStatus@!'VO',EM_AEAT349_Period
Statistical Regime,,,,@INTR_INVOICE@='Y',Statistical_Regime
Transaction Type,,,,@INTR_INVOICE@='Y',Transaction_Type
Supplementary UOM,@Hasunit@='Y',,,@INTR_INVOICE@='Y',Intr_C_Uom_ID
Port/Airport,@Transportation_Type@='1' | @Transportation_Type@='4',,,@INTR_INVOICE@='Y',Port
Business Partner,@EM_Aeat349_Iscorrective@='Y',,,@Processed@='Y' & @DocStatus@!'VO',EM_AEAT349_C_Bpartner_ID
DUA,@AEATSII_Multidua@='Y',,,,EM_Aeatsii_Dua
Base Imponible del 349 Productos,@EM_Aeat349_Iscorrective@='Y',,,@Processed@='Y' & @DocStatus@!'VO',EM_AEAT349_BP_BaseAmount
Modification in SII,@AEATSII_AcogidaSII2@='Y' & @EM_Aeatsii_Error_Registral@='Y',,,,EM_Aeatsii_Modif
