ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3272,Print Discount,N,N,,,,374,IsDiscountPrinted,20,Y,Y,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1110,Priority,N,N,@OrderType@='SO' | @OrderType@='WP',,,376,PriorityRule,17,Y,Y,5,60,,,,@Processed@='Y',List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1324,Sales Campaign,N,N,@$Element_MC@='Y',,,378,C_Campaign_ID,19,N,Y,,22,,,,@Posted@='Y',TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2109,Charge Amount,N,N,,,,380,ChargeAmt,12,N,Y,0,22,,,,@Processed@='Y',Amount,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2112,Charge,N,N,,,,382,C_Charge_ID,18,N,Y,,22,,,,@Processed@='Y',Table,org.openbravo.erpCommon.ad_callouts.SL_Charge
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2589,Activity,N,N,@$Element_AY@='Y',,,384,C_Activity_ID,19,N,Y,,22,,,,@Posted@='Y',TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,7038,Trx Organization,N,N,@$Element_OT@='Y',,,390,AD_OrgTrx_ID,18,N,Y,,22,,,,@Processed@='Y',Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,B21E042CE2E740B79EA8D6E29283298E,Quotation,Y,Y,@Quotation_ID@ ! '' & @Quotation_ID@ ! 'null' & @Quotation_ID@ ! null,,,420,Quotation_ID,30,N,N,,32,,,,,Search,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,0975302859724404A4C637687C3C1850,Delivery Status,N,N,,,,420,DeliveryStatus,11,N,N,,4,,,,,Integer,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,B64FAC97EE104E5B916615E796F42455,Invoice Status,N,N,,,,430,InvoiceStatus,11,N,Y,,4,,,,,Integer,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6DA4FBB672494411AC03A3FC0461510F,Calculate Promotions,N,N,@DocStatus@='DR' & @PromotionsDefined@='Y',,,480,Calculate_Promotions,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3C2B8257EC414EFBB6BA098C8400D28A,Canceled Order,Y,Y,@Cancelledorder_id@!'',,,550,Cancelledorder_id,18,N,Y,,32,,,,,Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,E7336543F2EA4658A48B719F833D43B6,Replaced Order,Y,Y,@Replacedorder_id@!'',,,560,Replacedorder_id,18,N,Y,,32,,,,,Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,70B30B77B3F347D6A4CCE368FF95426B,Replacement Order,N,Y,,,,570,Replacementorder_ID,18,N,Y,,32,,,,,Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,05E7C043CEC5432EBAFF1F3FD71A05E9,Is Canceled,Y,Y,,,,580,Iscancelled,20,Y,Y,N,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,206C498CBA9F49A78E8502EB2763406F,CRM Reference,Y,Y,@BPartner_ExtRef@!'',,,590,BPartner_ExtRef,10,N,Y,,256,,,,,String,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2593,Project,Y,N,@ACCT_DIMENSION_DISPLAY@,,,2000,C_Project_ID,30,N,Y,,60,,,800001,@Posted@='Y',Search,org.openbravo.erpCommon.ad_callouts.SE_Order_Project
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,F8EDB03F17DF4EDBAA54A4E6ECEE0796,Cost Center,Y,N,@ACCT_DIMENSION_DISPLAY@,,,2010,C_Costcenter_ID,95E2A8B50A254B2AAE6774B8C2F28120,N,Y,,32,,,,@Posted@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,48DEE27C5EE849B99C2B150479239A0E,Asset,Y,N,@$Element_AS@='Y',,,2020,A_Asset_ID,95E2A8B50A254B2AAE6774B8C2F28120,N,Y,,32,,,,@Posted@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,7826,1st Dimension,Y,N,@ACCT_DIMENSION_DISPLAY@,,,2030,User1_ID,95E2A8B50A254B2AAE6774B8C2F28120,N,Y,,32,,,,@Posted@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,7825,2nd Dimension,Y,N,@ACCT_DIMENSION_DISPLAY@,,,2040,User2_ID,95E2A8B50A254B2AAE6774B8C2F28120,N,Y,,32,,,,@Posted@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3C9B97CD980A4D809BDE5B9FDC3E0E73,Cancel and Replace,Y,N,@DocStatus@='CO'&@Cancelledorder_id@=''&@Iscancelled@='N' & @OrderType@='SO' & @EnableCanceAndReplace@!'',,,2140,Cancelandreplace,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,F0BF2E4561024D30B93AC7B471DBF5D7,Confirm Cancel and Replace,Y,N,@DocStatus@='TMP' & @OrderType@='SO' & @EnableCanceAndReplace@!'',,,2160,Confirmcancelandreplace,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6562,Self-Service,N,Y,,,,,IsSelfService,20,Y,Y,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6561,Drop Ship Location,N,N,,,,,DropShip_Location_ID,18,N,Y,,22,,,120,@Processed@='Y' | @DocStatus@='TMP',Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6559,Drop Ship Partner,N,N,,,,,DropShip_BPartner_ID,95E2A8B50A254B2AAE6774B8C2F28120,N,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6558,Drop Ship Contact,N,N,,,,,DropShip_User_ID,18,N,Y,,22,,,168,@Processed@='Y',Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3704,Selected,N,N,,,,,IsSelected,20,Y,Y,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3660,Posted,N,N,@Processed@='Y' & @#ShowAcct@='Y',,,,Posted,28,Y,Y,N,60,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,3113,Form of Payment,N,N,@FinancialManagement@='',,,,PaymentRule,17,Y,Y,B,60,,,,@Processed@='Y',List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2879,Sales Transaction,N,N,,,,,IsSOTrx,20,Y,Y,@IsSOTrx@,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2876,Date printed,N,N,,,,,DatePrinted,15,N,Y,,10,,,,,Date,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2594,Processed,N,N,,,,,Processed,20,Y,N,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1323,Process Order,N,N,,,,,Processing,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1078,Sales Order,N,N,,,,,C_Order_ID,13,Y,N,,32,,,,,ID,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1095,Accounting Date,N,N,,,,,DateAcct,15,Y,Y,@#Date@,10,,,,@Posted@='Y',Date,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1091,Print,N,Y,,,,,IsPrinted,20,Y,N,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1090,Re-invoice,N,Y,,,,,IsInvoiced,20,Y,N,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1089,Delivered,Y,Y,@Processed@='Y',,,,IsDelivered,20,Y,N,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1080,Active,N,N,,,,,IsActive,20,Y,Y,,1,,,,,YesNo,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1079,Client,N,N,,,,,AD_Client_ID,19,Y,N,@AD_CLIENT_ID@,22,,,,@Processed@='Y',TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,800388,Copy Product Template,N,N,,,,,Generatetemplate,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,804076,Delivery notes,N,N,,,,,Deliverynotes,14,N,Y,,2000,,,,,Text,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,804077,Incoterms,N,N,,,,,C_Incoterms_ID,19,N,Y,,12,,,,,TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,804078,INCOTERMS description,N,N,,,,,Incotermsdescription,14,N,Y,,255,,,,,Text,
