ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,field_isactive,isdisplayed,isreadonly,isshowninstatusbar,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3457,Activity,Y,N,N,N,@$Element_AY@='Y',,,411,C_Activity_ID,19,N,Y,,22,,,,@Posted@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3464,Freight Cost Rule,Y,N,N,N,,,,412,FreightCostRule,17,Y,Y,I,60,,,,,List,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,7039,Trx Organization,Y,N,N,N,@$Element_OT@='Y',,,413,AD_OrgTrx_ID,18,N,Y,,22,,,,@Processed@='Y',Table,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,F4A594CF81DA4C0DB3A81BBFF0305C12,Add Payment,Y,Y,N,N,@Processed@='Y' & (@showAddPayment@='Y' | @showAddPayment@ ='') & (@APRM_OrderIsPaid@='N' | @APRM_OrderIsPaid@ ='') & @GrandTotal@!0,,,415,EM_APRM_AddPayment,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3426,Process Order,Y,Y,N,N,@DocStatus@!'CL'&@DocStatus@!'VO',,,420,DocAction,28,Y,Y,CO,60,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,6506,Copy Lines,Y,Y,N,N,@processed@='N',,,430,CopyFrom,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,804197,Copy from Orders,Y,Y,N,N,@processed@='N',,,440,CopyFromPO,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3672,Price includes Tax,Y,Y,N,N,,,,450,IsTaxIncluded,20,N,Y,,1,,,,,YesNo,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,DD2A5839D78146559012A9D2AC8FA1F7,RM_AddOrphanLine,N,Y,N,N,,,,470,RM_AddOrphanLine,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,0511D54C4B4A4AC79F0C85FF237851C9,Create Order,N,Y,N,N,,,,480,Convertquotation,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,5F6468AA4FA8435B8CAAE2664AB7B3CA,Reject Reason,N,Y,N,N,,,,490,C_Reject_Reason_ID,19,N,Y,,32,,,,@DocStatus@='CJ'|@DocStatus@='CA',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,741CFA7E9BB4420DA10099FFC6BC759F,Valid Until,N,Y,N,N,,,,500,validuntil,15,N,Y,,19,,,,,Date,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,F3A109DCEC5140799C2D856293836826,Calculate_Promotions,N,Y,N,N,,,,510,Calculate_Promotions,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,8BBF40E9716143C1AC4B1D5A0FC8B0A2,Quotation,N,Y,N,N,,,,520,Quotation_ID,30,N,N,,32,,,,,Search,
